Name,Symbol,Isin
ISHARES CORE MDAX UCITS,MDAXEX:GR,DE0005933923
ISHARES Core MSCI EM IMI UCITS,IS3N:GR,IE00BKM4GZ66
ISHARES CORE S&P 500 UCITS,IUSA:GR,IE0031442068
ISHARES € CORP BOND 1-5YR UCITS,EUNT:GR,IE00B4L60045
ISHARES € CORP BOND EX-FINANCIALS UCITS,EUNR:GR,IE00B4L5ZG21
ISHARES DEVELOPED MARKETS PROPERTY YIELD UCITS,IQQ6:GR,IE00B1FZS350
ISHARES DIV COMD UCITS,DJCOMEX:GR,DE000A0H0728
ISHARES DIVDAX UCITS,DDAXKEX:GR,DE0002635273
ISHARES DIVERSIFIED COMMODITY SWAP UCITS,SXRS:GR,IE00BDFL4P12
ISHARES DOW JONES ASIA PACIFIC UCITS,APSDEX:GR,DE000A0H0744
ISHARES DOW JONES GLOBAL TITANS 50 UCITS,EXI2:GR,DE0006289382
ISHARES DOW JONES INDUSTRIAL AVERAGE UCITS,SXRU:GR,IE00B53L4350
ISHARES DOW JONES U.S. SELECT DIVIDEND UCITS,DJDVPEX:GR,DE000A0D8Q49
ISHARES EB.REXX GER GOV BND 1.5-2.5 UCITS,RXP1EX:GR,DE0006289473
ISHARES EB.REXX GER GOV BND 2.5-5.5 UCITS,RXP2EX:GR,DE0006289481
ISHARES EB.REXX GER GOV BND 5.5-10.5 UCITS,RXP5EX:GR,DE0006289499
ISHARES EDGE MSCI EM MINIMUM VOLATILITY UCITS,EUNZ:GR,IE00B8KGV557
ISHARES EDGE MSCI EUROPE MINIMUM VOLATILITY UCITS,EUN0:GR,IE00B86MWN23
ISHARES EDGE MSCI USA MOMENTUM FACTOR UCITS,QDVA:GR,IE00BD1F4N50
ISHARES EDGE MSCI USA QUALITY FACTOR UCITS,QDVB:GR,IE00BD1F4L37
ISHARES EDGE MSCI USA VALUE FACTOR UCITS,QDVI:GR,IE00BD1F4M44
ISHARES EDGE MSCI WORLD MINIMUM VOLATILITY UCITS,IQQ0:GR,IE00B8FHGS14
ISHARES EDGE MSCI WORLD MOMENT UCITS,IS3R:GR,IE00BP3QZ825
ISHARES EDGE S&P 500 MINIMUM VOLATILITY UCITS,IBCK:GR,IE00B6SPMN59
ISHARES EMERGING MARKETS DIVIDEND UCITS,EUNY:GR,IE00B652H904
ISHARES EUR HIGH YIELD CORP BOND UCITS,EUNW:GR,IE00B66F4759
ISHARES EURO STOXX 50 UCITS,EUN2:GR,IE0008471009
ISHARES EURO STOXX 50 UCITS,SX5EEX:GR,DE0005933956
ISHARES EURO STOXX BANKS 30-15 UCITS,SX7EEX:GR,DE0006289309
ISHARES EURO STOXX UCITS,SXXEEX:GR,DE000A0D8Q07
ISHARES EURO STOXX MID UCITS,IQQM:GR,IE00B02KXL92
ISHARES EUROPEAN PROPERTY YIELD UCITS,IQQP:GR,IE00B0M63284
ISHARES GL INFL-L GOV BOND UCITS,IUS5:GR,IE00B3B8PX14
ISHARES GLOBAL CLEAN ENERGY UCITS,IQQH:GR,IE00B1XNHC34
ISHARES GLOBAL CORP BOND UCITS,IS0X:GR,IE00B7J7TB45
ISHARES GLOBAL GOVERNMENT BOND UCITS,EUN3:GR,IE00B3F81K65
ISHARES GLOBAL HIGH YIELD CORP BOND UCITS,IBC9:GR,IE00B74DQ490
ISHARES GLOBAL INFRASTRUCTURE UCITS,IQQI:GR,IE00B1FZS467
ISHARES GLOBAL WATER UCITS,IQQQ:GR,IE00B1TXK627
ISHARES GOLD PRODUCERS UCITS,IS0E:GR,IE00B6R52036
ISHARES HEALTHCARE INNOVATION UCITS,2B78:GR,IE00BYZK4776
ISHARES J.P. MORGAN EM BOND UCITS,IUS7:GR,IE00B2NPKV68
ISHARES J.P. MORGAN EM LOCAL GOVT BOND UCITS,IUSP:GR,IE00B5M4WH52
ISHARES MSCI EM LATAM UCITS,IUSC:GR,IE00B27YCK28
ISHARES MSCI EM SMALL CAP UCITS,EUNI:GR,IE00B3F81G20
ISHARES MSCI POLAND,IBCJ:GR,IE00B4M7GH52
ISHARES MSCI EM UCITS,EUNM:GR,IE00B4L5YC18
ISHARES MSCI EMU SMALL CAP UCITS,SXRJ:GR,IE00B3VWMM18
ISHARES MSCI JAPAN SRI UCITS,SXR6:GR,IE00BYX8XC17
ISHARES MSCI SAUDI ARABIA CAPPED UCITS,IUSS:GR,IE00BYYR0489
ISHARES MSCI TURKEY UCITS,IQQ5:GR,IE00B1FZS574
ISHARES MSCI USA SRI UCITS,QDVR:GR,IE00BYVJRR92
ISHARES MSCI WORLD SRI UCITS,2B7K:GR,IE00BYX2JD69
ISHARES MSCI WORLD VALUE FACTOR UCITS,IS3S:GR,IE00BP3QZB59
ISHARES NASDAQ-100 UCITS,NDXEX:GR,DE000A0F5UF5
ISHARES S&P 500 ENERGY SECTOR UCITS,QDVF:GR,IE00B42NKQ00
ISHARES STOXX EUROPE 600 AUTOMOBILES & PARTS UCITS,SXAPEX:GR,DE000A0Q4R28
ISHARES STOXX EUROPE 600 BANKS UCITS,SX7PEX:GR,DE000A0F5UJ7
ISHARES STOXX EUROPE 600 CHEMICALS UCITS,SX4PEX:GR,DE000A0H08E0
ISHARES STOXX EUROPE 600 CONSTRUCTION & MATERIALS,SXOPEX:GR,DE000A0H08F7
ISHARES STOXX EUROPE 600 FOOD UCITS,SX3PEX:GR,DE000A0H08H3
ISHARES STOXX EUROPE 600 HEALTH CARE UCITS,SXDPEX:GR,DE000A0Q4R36
ISHARES STOXX EUROPE 600 INSURANCE UCITS,SXIPEX:GR,DE000A0H08K7
ISHARES STOXX EUROPE 600 OIL & GAS UCITS,SXEPEX:GR,DE000A0H08M3
ISHARES STOXX EUROPE 600 TECHNOLOGY UCITS,SX8PEX:GR,DE000A0H08Q4
ISHARES STOXX EUROPE 600 TELECOM UCITS,SXKPEX:GR,DE000A0H08R2
ISHARES STOXX EUROPE 600 TRAVEL & LEISURE UCITS,SXTPEX:GR,DE000A0H08S0
ISHARES STOXX EUROPE 600 UCITS,SXXPIEX:GR,DE0002635307
ISHARES STOXX EUROPE 600 UTILITIES UCITS,SX6PEX:GR,DE000A0Q4R02
ISHARES STOXX EUROPE SELECT DIVIDEND 30 UCITS,SD3PEX:GR,DE0002635299
ISHARES STOXX GLOBAL SELECT DIVIDEND 100 UCITS,SDGPEX:GR,DE000A0F5UH1
ISHARES S&P 500 FINANCIALS SECTOR UCITS,QDVH:GR,IE00B4JNQZ49
ISHARES S&P 500 HEALTH CARE SECTOR UCITS,QDVG:GR,IE00B43HR379
ISHARES S&P500 IT SECTOR UCITS,QDVE:GR,IE00B3WJKG14
ISHARES S&P SMALL CAP 600 UCITS,IUS3:GR,IE00B2QWCY14
ISHARES S&P500 UTILITIES UCITS,2B7A:GR,IE00B4KBBD01
ISHARES TECDAX UCITS,TDXPEX:GR,DE0005933972
ISHARES UK DIVIDEND UCITS,IQQD:GR,IE00B0M63060
ISHARES US AGGREGATE BOND UCITS,EUNX:GR,IE00B44CGS96
ISHARES US MBS UCITS,QDVP:GR,IE00BZ6V7883
ISHARES USD CORPORATE BOND UCITS,IBCD:GR,IE0032895942
ISHARES USD FLOATING RATE BOND UCITS,QDVY:GR,IE00BZ048462
ISHARES USD HIGH YIELD CORPORATE BOND UCITS,IS0R:GR,IE00B4PY7Y77
ISHARES USD SHORT DURATION CORPORATE BOND UCITS,IS3J:GR,IE00BCRY5Y77
ISHARES USD SHORT DURATION HIGH YIELD CORP BOND UCIITS,IS3K:GR,IE00BCRY6003
ISHARES USD TIPS UCITS,IUST:GR,IE00B1FZSC47
ISHARES USD TREASURY 1-3YR UCITS,IUSU:GR,IE00B14X4S71
ISHARES USD TREASURY BOND 7-10YR UCITS,IUSM:GR,IE00B1FZS798
ISHARES USD TREASURY 20PLUS YR UCITS,IS04:GR,IE00BSKRJZ44
ISHARES US PROPERTY YIELD UCITS,IQQ7:GR,IE00B1FZSF77
L&G CYBER SECURITY UCITS,USPY:GR,IE00BYPLS672
LYXOR CORE US TIPS UCITS,TIUP:GR,LU1452600270
LYXOR MSCI GREECE UCITS,LYXGRE:GR,FR0010405431
LYXOR MSCI INDIA UCITS,LYXINR:GR,FR0010361683
LYXOR MSCI WORLD INFORMATION TECHNOLOGY UCITS,LYPG:GR,LU0533033667
LYXOR NEW ENERGY UCITS,LYXNRJ:GR,FR0010524777
LYXOR ROBOTICS & AI UCITS,ROAI:GR,LU1838002480
LYXOR S&P 500 VIX FUTURES ENHANCED ROLL UCITS,VOOL:GR,LU0832435464
LYXOR STOXX EUROPE 600 HEALTHCARE UCITS ETF - DIST,EHLT:GR,LU2082997516
LYXOR STOXX EUROPEAN 600 BANKS UCITS,LBNK:GR,LU1834983477
SOURCE EURO STOXX OPTIMISED BANKS UCITS,S7XE:GR,IE00B3Q19T94
SOURCE MSCI EUROPE UCITS,SMSEUR:GR,IE00B60SWY32
SOURCE MSCI WORLD UCITS,SMSWLD:GR,IE00B60SX394
INVESCO MARKETS PLC S&P 500 UCITS,P500:GR,IE00B3YCGJ38
SPDR DOW JONES GLOBAL REAL ESTATE UCITS,SPYJ:GR,IE00B8GF1M35
SPDR MSCI ACWI IMI UCITS,SPYI:GR,IE00B3YLTY66
SPDR MSCI EUROPE ENERGY UCITS,SPYN:GR,IE00BKWQ0F09
SPDR MSCI EUROPE FINANCIALS UCITS,SPYZ:GR,IE00BKWQ0G16
SPDR S&P EURO DIVIDEND ARISTOCRATS UCITS,SPYW:GR,IE00B5M1WJ87
SPDR S&P US DIVIDEND ARISTOCRATS UCITS,SPYD:GR,IE00B6YX5D40
SPDR THOMSON REUTERS GLOBAL CONVERTIBLE BOND UCITS,ZPRC:GR,IE00BNH72088
VANECK VECTORS JUNIOR GOLD MINERS UCITS,G2XJ:GR,IE00BQQP9G91
VANECK VECTORS VIDEO GAMING AND ESPORTS UCITS,ESP0:GR,IE00BYWQWR46
VANGUARD S&P 500 ETF UCITS,VUSA:GR,IE00B3XXRP09
XETRA GOLD,4GLD:GR,DE000A0S9GB0
WISDOMTREE 2X DAILY LONG GOLD,4RT8:GR,DE000A0V9YZ7
WISDOMTREE 2X DAILY LONG SILVER,4RUE:GR,DE000A0V9Y57
WISDOMTREE 2X DAILY LONG WTI CRUDE OIL,4RT6:GR,DE000A2BDEB6
WISDOMTREE BRENT CRUDE,OOEA:GR,DE000A1N49P6
WISDOMTREE COFFEE,OD7B:GR,DE000A0KRJT2
WISDOMTREE COPPER,OD7C:GR,DE000A0KRJU0
WISDOMTREE NICKEL,OD7M:GR,DE000A0KRJ44
WISDOMTREE PHYSICAL GOLD,VZLD:GR,DE000A0N62G0
WISDOMTREE PHYSICAL PLATINUM,VZLA:GR,DE000A0N62D7
WISDOMTREE PHYSICAL SILVER,VZLC:GR,DE000A0N62F2
WISDOMTREE SUGAR,OD7R:GR,DE000A0KRJ85
WISDOMTREE WHEAT,OD7S:GR,DE000A0KRJ93
WISDOMTREE WTI CRUDE OIL,OD7F:GR,DE000A0KRJX4
XTRACKERS EURO STOXX 50 SHORT DAILY SWAP UCITS ETF 1C,DBX1SS:GR,LU0292106753
XTRACKERS HARVEST CSI300 UCITS,RQFI:GR,LU0875160326
XTRACKERS MSCI SINGAPORE UCITS ACC,XBAS:GR,LU0659578842
XTRACKERS MSCI TAIWAN UCITS,XMTW:GR,LU0292109187
XTRACKERS PHYSICAL GOLD ETC EUR,XAD5:GR,DE000A1E0HR8
XTRACKERS S&P 500 2x INVERSE DAILY SWAP UCITS,DBPK:GR,LU0411078636
XTRACKERS S&P 500 EQUAL WEIGHT UCITS,XDEW:GR,IE00BLNMYC90
APDR S&P PAN ASIA DIVIDEND ARISTOCRATS UCITS,ASDV:LN,IE00B9KNR336
FIDELITY US QUALITY INCOME UCITS,FUSA:LN,IE00BYXVGY31
FRANKLIN FTSE KOREA UCITS,FLXK:LN,IE00BHZRR030
HANETF- EMQQ EM INTERNET & ECOMMERCE UCITS – ACC,EMQQ:LN,IE00BFYN8Y92
HSBC MSCI INDONESIA UCITS,HIDD:LN,IE00B46G8275
INVESCO ELWOOD GLOBAL BLOCKCHAIN UCITS,BCHN:LN,IE00BGBN6P67
INVESCO NASDAQ BIOTECH UCITS,SBIO:LN,IE00BQ70R696
ISHARES AEX UCITS,IAEX:LN,IE00B0M62Y33
ISHARES AGEING POPULATION UCITS,AGED:LN,IE00BYZK4669
ISHARES AGRIBUSINESS UCITS,ISAG:LN,IE00B6R52143
ISHARES AUTOMATION & ROBOTICS UCITS,RBOT:LN,IE00BYZK4552
ISHARES CORE MSCI EM IMI UCITS,EMIM:LN,IE00BKM4GZ66
ISHARES $ TREASURY BOND 1-3YR UCITS,IBTS:LN,IE00B14X4S71
ISHARES $ TREASURY BOND 7-10YR UCITS,IBTM:LN,IE00B1FZS798
ISHARES £ CORP BOND 0-5YR UCITS,IS15:LN,IE00B5L65R35
ISHARES £ IND-LINKED GILTS UCITS,INXG:LN,IE00B1FZSD53
ISHARES € GOVT BOND 1-3YR UCITS,IBGS:LN,IE00B14X4Q57
ISHARES € GOVT BOND 3-5YR UCITS,IBGX:LN,IE00B1FZS681
ISHARES € GOVT BOND 7-10YR UCITS,IBGM:LN,IE00B1FZS806
ISHARES € INFLATION LINKED GOVT BOND UCITS,IBCI:LN,IE00B0M62X26
ISHARES CHINA LARGE CAP UCITS,FXC:LN,IE00B02KXK85
ISHARES CORE £ CORP BOND UCITS,SLXX:LN,IE00B00FV011
ISHARES CORE FTSE100 UCITS,ISF:LN,IE0005042456
ISHARES CORE MSCI JAPAN IMI UCITS,SJPA:LN,IE00B4L5YX21
ISHARES CORE MSCI PACIFIC EX-JAPAN UCITS,CPXJ:LN,IE00B52MJY50
ISHARES CORE MSCI WORLD UCITS,SWDA:LN,IE00B4L5Y983
ISHARES CORE S&P500 UCITS,CSP1:LN,IE00B5BMR087
ISHARES CORE UK GILTS UCITS,IGLT:LN,IE00B1FZSB30
ISHARES DIGITALISATION UCITS,DGTL:LN,IE00BYZK4883
ISHARES EDGE MSCI USA MOMENTUM FACTOR UCITS,IUMO:LN,IE00BD1F4N50
ISHARES EDGE MSCI WORLD MINIMUM VOLATILITY UCITS,MVOL:LN,IE00B8FHGS14
ISHARES EDGE MSCI WORLD QUALITY FACTOR UCITS,IWQU:LN,IE00BP3QZ601
ISHARES ELECTRIC VEHICLES & DRIVING TECHNOLOGY UCITS,ECAR:LN,IE00BGL86Z12
ISHARES EMERGING MARKETS DIVIDEND UCITS,IEDY:LN,IE00B652H904
ISHARES EURO DIVIDEND UCITS,IDVY:LN,IE00B0M62S72
ISHARES EUROPEAN PROPERTY YIELD UCITS,IPRP:LN,IE00B0M63284
ISHARES FALLEN ANGELS HIGH YIELD CORP BOND UCITS,WING:LN,IE00BYM31M36
ISHARES FTSE 250 UCITS,MIDD:LN,IE00B00FV128
ISHARES FTSE MIB UCITS,IMIB:LN,IE00B1XNH568
ISHARES GLOBAL TIMBER & FORESTRY UCITS,WOOD:LN,IE00B27YCF74
ISHARES GLOBAL WATER UCITS,DH2O:LN,IE00B1TXK627
ISHARES J.P. MORGAN EM LOCAL GOVT BOND UCITS,IEML:LN,IE00B5M4WH52
ISHARES J.P. MORGAN USD EMERGING MARKETS BOND UCITS,IEMB:LN,IE00B2NPKV68
ISHARES MSCI AC FAR EAST EX-JAPAN UCITS,IFFF:LN,IE00B0M63730
ISHARES MSCI AUSTRLIA UCITS,SAUS:LN,IE00B5377D42
ISHARES MSCI AUSTRALIA UCITS,IAUS:LN,IE00B5377D42
ISHARES MSCI CANADA UCITS,CCAU:LN,IE00B52SF786
ISHARES MSCI CHINA A UCITS,CNYA:LN,IE00BQT3WG13
ISHARES MSCI EM ASIA UCITS,CEA1:LN,IE00B5L8K969
ISHARES MSCI EM UCITS,IEEM:LN,IE00B0M63177
ISHARES MSCI EM SRI UCITS,SUSM:LN,IE00BYVJRP78
ISHARES MSCI EASTERN EUROPE CAPPED UCITS,IDEE:LN,IE00B0M63953
ISHARES MSCI EUROPE EX-UK UCITS,IEUX:LN,IE00B14X4N27
ISHARES MSCI EUROPE SRI UCITS,IESG:LN,IE00B52VJ196
ISHARES MSCI EUROPE UCITS,SMEA:LN,IE00B4K48X80
ISHARES MSCI EUROPE UCITS,IMEU:LN,IE00B1YZSC51
ISHARES MSCI INDIA UCITS ETF USD (ACC),NDIA:LN,IE00BZCQB185
ISHARES MSCI JAPAN UCITS,IJPN:LN,IE00B02KXH56
ISHARES MSCI KOREA UCITS,IKOR:LN,IE00B0M63391
ISHARES MSCI NORTH AMERICA UCITS,IDNA:LN,IE00B14X4M10
ISHARES MSCI POLAND UCITS,IPOL:LN,IE00B4M7GH52
ISHARES MSCI RUSSIA ADR/GDR USD UCITS,CSRU:LN,IE00B5V87390
ISHARES MSCI SOUTH AFRICA UCITS,IRSA:LN,IE00B52XQP83
ISHARES MSCI WORLD UCITS,IWRD:LN,IE00B0M62Q58
ISHARES MSCI WORLD SMALL CAP UCITS,WSML:LN,IE00BF4RFH31
ISHARES NASDAQ 100 USD ACC,CNDX:LN,IE00B53SZB19
ISHARES OIL & GAS EXPLORATION & PRODUCTION UCITS,SPOG:LN,IE00B6R51Z18
ISHARES OMX STOCKHOLM CAPPED UCITS,OMXS:LN,IE00BD3RYZ16
ISHARES PHYSICAL GOLD ETC,SGLN:LN,IE00B4ND3602
ISHARES S&P 500 FINANCIALS SECTOR UCITS,IUFS:LN,IE00B4JNQZ49
ISHARES S&P 500 IT SECTOR UCITS,IUIT:LN,IE00B3WJKG14
ISHARES S&P SMALL CAP 600 UCITS,IDP6:LN,IE00B2QWCY14
ISHARES STOXX EUROPE 50 UCITS,EUN:LN,IE0008470928
ISHARES UK GILT 0-5 UCITS,IGLS:LN,IE00B4WXJK79
ISHARES UK PROPERTY UCITS,IUKP:LN,IE00B1TXLS18
ISHARES US PROPERTY YIELD UCITS,IUSP:LN,IE00B1FZSF77
ISHARES USD CORPORATE BOND UCITS,LQDE:LN,IE0032895942
ISHARES USD HIGH YIELD CORPORATE BOND UCITS,IHYU:LN,IE00B4PY7Y77
ISHARES USD TREASURY 1-3Y,IBTA:LN,IE00BYXPSP02
ISHARES USD TREASURY BOND 3-7YR,CBU7:LN,IE00B3VWN393
ISHARES USD TREASURY 20PLUS YR UCITS,IDTL:LN,IE00BSKRJZ44
L&G CYBER SECURITY UCITS,USPY:LN,IE00BYPLS672
LYXOR CORE US TIPS UCITS,TIPU:LN,LU1452600270
LYXOR RUSSELL 1000 GROWTH UCITS,RUSG:LN,FR0011119171
SPDR GLOBAL DIVIDEND ARISTOCRATS,GLDV:LN,IE00B9CQXS71
SPDR MSCI EMERGING MARKETS UCITS,EMRD:LN,IE00B469F816
SPDR MSCI EMERGING MARKETS ASIA UCITS,EMAD:LN,IE00B466KX20
SPDR RUSSELL 2000 U.S. SMALL CAP UCITS,R2US:LN,IE00BJ38QD84
SPDR S&P 400 US MID CAP UCITS,SPY4:LN,IE00B4YBJ215
SPDR S&P 500 UCITS,SPY5:LN,IE00B6YX5C33
SPDR S&P US DIVIDEND ARISTOCRATS UCITS,UDVD:LN,IE00B6YX5D40
SPDR WORLD ENERGY UCITS,WNRG:LN,IE00BYTRR863
THE ROYAL MINT PHYSICAL GOLD ETC SECURITIES,RMAU:LN,XS2115336336
VANECK VECTORS GOLD MINERS UCITS ETF,GDX:LN,IE00BQQP9F84
VANGUARD FTSE 100 UCITS,VUKE:LN,IE00B810Q511
VANGUARD FTSE 250 UCITS,VMID:LN,IE00BKX55Q28
VANGUARD S&P 500 UCITS,VUSA:LN,IE00B3XXRP09
VANGUARD FTSE ALL-WORLD HIGH DIVIDEND YIELD UCITS,VHYL:LN,IE00B8GKDB10
VANGUARD FTSE ALL-WORLD UCITS ETF USD-ACC,VWRALN,IE00BK5BQT80
VANGUARD FTSE DEVELOPED EUROPE UCITS,VEUR:LN,IE00B945VV12
VANGUARD FTSE DEVELOPED WORLD UCITS,VDEV:LN,IE00BKX55T58
VANGUARD FTSE EMERGING MARKETS UCITS,VDEM:LN,IE00B3VVMM84
VANGUARD GLOBAL VALUE FACTOR UCITS,VVAL:LN,IE00BYYR0B57
VANGUARD USD TREASURY BOND UCITS,VDTY:LN,IE00BZ163M45
WISDOMTREE BRENT CRUDE OIL,BRNT:LN,JE00B78CGV99
WISDOMTREE COFFEE,COFF:LN,GB00B15KXP72
WISDOMTREE COPPER,COPA:LN,GB00B15KXQ89
WISDOMTREE CORN,CORN:LN,GB00B15KXS04
WISDOMTREE GOLD 3X DAILY LEVERAGED,3GOL:LN,IE00B8HGT870
WISDOMTREE NICKEL,NICK:LN,GB00B15KY211
WISDOMTREE PHYSICAL GOLD,PHAU:LN,JE00B1VS3770
WISDOMTREE PHYSICAL PALLADIUM,PHPD:LN,JE00B1VS3002
WISDOMTREE PHYSICAL PLATINUM,PHPT:LN,JE00B1VS2W53
WISDOMTREE PHYSICAL SILVER,PHAG:LN,JE00B1VS3333
WISDOMTREE SUGAR,SUGA:LN,GB00B15KY658
WISDOMTREE WTI CRUDE OIL,CRUD:LN,GB00B15KXV33
XTRACKERS MSCI WORLD UCITS,XDWD:LN,IE00BJ0KDQ92
NAZWA INSTRUMENTU,INSTRUMENTU -,INSTRUMENTU
XTRACKERS MSCI WORLD UCITS,XDWD:LN,IE00BJ0KDQ92
